Title	tv_movie	Episodes	Status	Start airing	End airing	Starting season	Broadcast time	Producers	Licensors	Studios	Sources	Genres	Duration	Rating	Score	Scored by	Members	Favorites	Description
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare	Movie	1	Finished Airing	7/6/2013	-	-	-	TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros.,Shueisha	-	Sunrise	Manga	Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen	1 hr. 50 min.	PG-13	9.04	60295	104021	1374	"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after allâ€”it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.

Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discoveryâ€”with a ragtag band of friends and allies at his side, he doesn't have to fight alone.

[Written by MAL Rewrite]"
Koe no Katachi	Movie	1	Finished Airing	9/17/2016	-	-	-	Shochiku,Pony Canyon,Kodansha,ABC Animation,Quaras	NYAV Post	Kyoto Animation	Manga	Drama,School,Shounen	2 hr. 10 min.	PG-13	9.04	283214	491799	18911	"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.

[Written by MAL Rewrite]"
Owarimonogatari 2nd Season	TV	7	Finished Airing	8/12/2017	8/13/2017	Summer	Not scheduled once per week	Aniplex,Kodansha	Aniplex of America	Shaft	Light novel	Mystery,Comedy,Supernatural,Vampire	22 min. per ep.	R	9.03	40936	109651	2372	Second season of Owarimonogatari.
Gintama.	TV	12	Finished Airing	1/9/2017	3/27/2017	Winter	Mondays at 01:35 (JST)	TV Tokyo,Aniplex,Dentsu,Shueisha	-	Bandai Namco Pictures	Manga	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	24 min. per ep.	PG-13	9.02	39493	89409	1222	"After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.

Hitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.

[Written by MAL Rewrite]"
Clannad: After Story	TV	24	Finished Airing	10/3/2008	3/27/2009	Fall	Fridays at 01:59 (JST)	Pony Canyon,TBS,Rakuonsha,Animation Do	Sentai Filmworks	Kyoto Animation	Visual novel	Slice of Life,Comedy,Supernatural,Drama,Romance	24 min. per ep.	PG-13	9.01	359297	599866	47076	"Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.

Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.

Based on the visual novel by Key and produced by Kyoto Animation, Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.

[Written by MAL Rewrite]"
Gintama	TV	201	Finished Airing	4/4/2006	3/25/2010	Spring	Thursdays at 18:00 (JST)	TV Tokyo,Aniplex,Dentsu,Trinity Sound,Audio Highs,Miracle Robo,Shueisha	Sentai Filmworks,Crunchyroll	Sunrise	Manga	Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen	24 min. per ep.	PG-13	9.01	139984	452486	33507	"The Amanto, aliens from outer space, have invaded Earth and taken over feudal Japan. As a result, a prohibition on swords has been established, and the samurai of Japan are treated with disregard as a consequence.

However one man, Gintoki Sakata, still possesses the heart of the samurai, although from his love of sweets and work as a yorozuya, one might not expect it. Accompanying him in his jack-of-all-trades line of work are Shinpachi Shimura, a boy with glasses and a strong heart, Kagura with her umbrella and seemingly bottomless stomach, as well as Sadaharu, their oversized pet dog. Of course, these odd jobs are not always simple, as they frequently have run-ins with the police, ragtag rebels, and assassins, oftentimes leading to humorous but unfortunate consequences.

Who said life as an errand boy was easy?

[Written by MAL Rewrite]"
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	TV	10	Finished Airing	10/8/2016	12/10/2016	Fall	Saturdays at 01:55 (JST)	TOHO animation,Shueisha	Sentai Filmworks	Production I.G	Manga	Comedy,Sports,Drama,School,Shounen	24 min. per ep.	PG-13	8.99	154220	245797	4078	"After the victory against Aoba Jousai High, Karasuno High School, once called â€œa fallen powerhouse, a crow that canâ€™t fly,â€ has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasunoâ€™s greatest hurdle is their adversaryâ€™s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the countryâ€™s top three aces.

Only the strongest team will make it to the national tournament. Since this match is the third-year playersâ€™ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season of Haikyuu!!.

[Written by MAL Rewrite] "
Code Geass: Hangyaku no Lelouch R2	TV	25	Finished Airing	4/6/2008	9/28/2008	Spring	Sundays at 17:00 (JST)	Bandai Visual,Mainichi Broadcasting System,Bandai,Bandai Namco Entertainment,Hakuhodo DY Media Partners	Funimation,Bandai Entertainment	Sunrise	Original	Action,Drama,Mecha,Military,Sci-Fi,Super Power	24 min. per ep.	R	8.95	536915	780346	43856	"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance groupâ€”the Black Knightsâ€”find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt. 

Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.

[Written by MAL Rewrite]
"
Made in Abyss	TV	13	Finished Airing	7/7/2017	9/29/2017	Summer	Fridays at 21:30 (JST)	Media Factory,AT-X,Takeshobo,Sony Music Communications,Kadokawa Media House,Cygames,Kanetsu Co., LTD.	Sentai Filmworks	Kinema Citrus	Web manga	Sci-Fi,Adventure,Mystery,Drama,Fantasy	25 min. per ep.	R	8.92	157920	308918	11246	"The Abyssâ€”a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals, known as Divers, have sought to solve these mysteries of the Abyss, fearlessly descending into its darkest realms. The best and bravest of the Divers, the White Whistles, are hailed as legends by those who remain on the surface.

Riko, daughter of the missing White Whistle Lyza the Annihilator, aspires to become like her mother and explore the furthest reaches of the Abyss. However, just a novice Red Whistle herself, she is only permitted to roam its most upper layer. Even so, Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg, and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss, the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However, they know not of the harsh reality that is the true existence of the Abyss.

[Written by MAL Rewrite]"
Sen to Chihiro no Kamikakushi	Movie	1	Finished Airing	7/20/2001	-	-	-	Toho	Walt Disney Studios,GKIDS	Studio Ghibli	Original	Adventure,Supernatural,Drama	2 hr. 5 min.	PG	8.92	490546	693611	15225	"Stubborn, spoiled, and naÃ¯ve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the startâ€”Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]"
Haikyuu!! Second Season	TV	25	Finished Airing	10/4/2015	3/27/2016	Fall	Sundays at 02:58 (JST)	TOHO animation,Shueisha	Sentai Filmworks	Production I.G	Manga	Comedy,Sports,Drama,School,Shounen	24 min. per ep.	PG-13	8.88	201157	326190	6480	"Following their participation at the Inter-High, the Karasuno High School volleyball team attempts to refocus their efforts, aiming to conquer the Spring tournament instead. 

When they receive an invitation from long-standing rival Nekoma High, Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan, they hope not only to sharpen their skills, but also come up with new attacks that would strengthen them. Moreover, Hinata and Kageyama attempt to devise a more powerful weapon, one that could possibly break the sturdiest of blocks. 

Facing what may be their last chance at victory before the senior players graduate, the members of Karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and newâ€”including their archrival Aoba Jousai and its world-class setter Tooru Oikawa.

[Written by MAL Rewrite]"
Kizumonogatari III: Reiketsu-hen	Movie	1	Finished Airing	1/6/2017	-	-	-	Aniplex,Kodansha	-	Shaft	Light novel	Action,Mystery,Supernatural,Vampire	1 hr. 23 min.	R	8.88	59924	125489	1477	"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. 

Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what heâ€™s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.

But there is more to the story that Araragi doesnâ€™t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?

Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something heâ€™ll regretâ€¦

[Written by MAL Rewrite]"
Shigatsu wa Kimi no Uso	TV	22	Finished Airing	10/10/2014	3/20/2015	Fall	Fridays at 01:20 (JST)	Aniplex,Dentsu,Kodansha,Fuji TV,Kyoraku Industrial Holdings	Aniplex of America	A-1 Pictures	Manga	Drama,Music,Romance,School,Shounen	22 min. per ep.	PG-13	8.88	404812	701954	38990	"Music accompanies the path of the human metronome, the prodigious pianist Kousei Arima. But after the passing of his mother, Saki Arima, Kousei falls into a downward spiral, rendering him unable to hear the sound of his own piano.

Two years later, Kousei still avoids the piano, leaving behind his admirers and rivals, and lives a colorless life alongside his friends Tsubaki Sawabe and Ryouta Watari. However, everything changes when he meets a beautiful violinist, Kaori Miyazono, who stirs up his world and sets him on a journey to face music again.

Based on the manga series of the same name, Shigatsu wa Kimi no Uso approaches the story of Kousei's recovery as he discovers that music is more than playing each note perfectly, and a single melody can bring in the fresh spring air of April.

[Written by MAL Rewrite]"
Gintama.: Shirogane no Tamashii-hen	TV	12	Finished Airing	1/8/2018	3/26/2018	Winter	Mondays at 01:35 (JST)	TV Tokyo,Aniplex,Dentsu,Shueisha	-	Bandai Namco Pictures	Manga	Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen	24 min. per ep.	PG-13	8.86	13190	39829	388	First Season of the final arc of Gintama.
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen	TV	12	Finished Airing	1/7/2017	3/25/2017	Winter	Saturdays at 02:25 (JST)	Mainichi Broadcasting System,Kodansha,DAX Production,King Records	-	Studio Deen	Manga	Historical,Drama,Josei	24 min. per ep.	PG-13	8.87	26744	73103	1360	"Ex-convict turned Rakugo apprentice Yotarou has finally taken the name of Yurakutei Sukeroku III, and with his master Yakumo's permission has attained the lofty rank of shin'uchi. He assumes the name at a critical time for Rakugo, with audiences fewer than ever. At the same time he has started acting as a husband to Konatsu, who is now a single mother. Yotarou thus begins the struggle to fill the role of Sukeroku, both as the future of Rakugo and as a part of Yakumo's and Konatsu's lives.

(Source: ANN)"
Mushishi Zoku Shou 2nd Season	TV	10	Finished Airing	10/19/2014	12/21/2014	Fall	Sundays at 00:30 (JST)	Aniplex,Kodansha,Delfi Sound	Aniplex of America	Artland	Manga	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural	23 min. per ep.	PG-13	8.83	48104	116262	693	"Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village.

Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension.

[Written by MAL Rewrite]"
Cowboy Bebop	TV	26	Finished Airing	4/3/1998	4/24/1999	Spring	Saturdays at 01:00 (JST)	Bandai Visual	Funimation,Bandai Entertainment	Sunrise	Original	Action,Adventure,Comedy,Drama,Sci-Fi,Space	24 min. per ep.	R	8.81	359700	695231	38654	"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys."" The ragtag team aboard the spaceship Bebop are two such individuals.

Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travelsâ€”Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wongâ€”the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little.

Well-balanced with high density action and light-hearted comedy, Cowboy Bebop is a space Western classic and an homage to the smooth and improvised music it is named after.

[Written by MAL Rewrite]"
Hajime no Ippo	TV	75	Finished Airing	10/4/2000	3/27/2002	Fall	Tuesdays at 00:50 (JST)	VAP	Geneon Entertainment USA	Madhouse	Manga	Comedy,Sports,Drama,Shounen	23 min. per ep.	PG-13	8.8	114872	225314	10649	"Makunouchi Ippo has been bullied his entire life. Constantly running errands and being beaten up by his classmates, Ippo has always dreamed of changing himself, but never has the passion to act upon it. One day, in the midst of yet another bullying, Ippo is saved by Takamura Mamoru, who happens to be a boxer. Ippo faints from his injuries and is brought to the Kamogawa boxing gym to recover. As he regains consciousness, he is awed and amazed at his new surroundings in the gym, though lacks confidence to attempt anything. Takamura places a photo of Ippo's classmate on a punching bag and forces him to punch it. It is only then that Ippo feels something stir inside him and eventually asks Takamura to train him in boxing. Thinking that Ippo does not have what it takes, Takamura gives him a task deemed impossible and gives him a one week time limit. With a sudden desire to get stronger, for himself and his hard working mother, Ippo trains relentlessly to accomplish the task within the time limit. Thus Ippo's journey to the top of the boxing world begins.

[Written by MAL Rewrite]"
